Libellé ROME,Code OGR,cluster_1,cluster_2,cluster_3,code_ROME,encoding_label
Chauffeur / Chauffeuse de machines agricoles,11987,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Engins agricoles et forestiers,Conduite d'engins agricoles et forestiers,A1101,"[ 0.39275452  0.7583707  -0.34653434 ... -0.3331895  -0.09648335
 -0.3480806 ]"
Conducteur / Conductrice d'abatteuses,12862,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Engins agricoles et forestiers,Conduite d'engins agricoles et forestiers,A1101,"[ 0.31437352  0.8345014  -0.5050222  ... -0.11870605  0.23328462
 -0.31880972]"
Conducteur / Conductrice d'automoteur de récolte,38874,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Engins agricoles et forestiers,Conduite d'engins agricoles et forestiers,A1101,"[ 0.855264    0.67337865 -0.59984624 ...  0.21392356 -0.10760749
 -0.28735787]"
Conducteur / Conductrice d'engins d'exploitation agricole,13254,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Engins agricoles et forestiers,Conduite d'engins agricoles et forestiers,A1101,"[ 0.7317375   0.75208634 -0.5275871  ... -0.05866468  0.1460656
 -0.21612833]"
Conducteur / Conductrice d'engins d'exploitation forestière,13255,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Engins agricoles et forestiers,Conduite d'engins agricoles et forestiers,A1101,"[ 0.3119869   0.721688   -0.4364736  ... -0.20900486  0.44816792
 -0.247665  ]"
Conducteur / Conductrice d'engins de débardage,13248,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Engins agricoles et forestiers,Conduite d'engins agricoles et forestiers,A1101,"[ 0.61362803  0.72443694 -0.5236083  ... -0.37202212  0.47733566
  0.09588209]"
Conducteur / Conductrice d'engins forestiers,13256,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Engins agricoles et forestiers,Conduite d'engins agricoles et forestiers,A1101,"[ 0.44672418  0.7467412  -0.5057961  ... -0.17251621  0.30581775
 -0.21899673]"
Conducteur / Conductrice d'épareuse,38877,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Engins agricoles et forestiers,Conduite d'engins agricoles et forestiers,A1101,"[ 0.9401006   0.82334465 -0.20268662 ...  0.17095648  0.11906887
 -0.18289137]"
Conducteur / Conductrice de machines à vendanger,13232,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Engins agricoles et forestiers,Conduite d'engins agricoles et forestiers,A1101,"[ 0.9167995   0.652904   -0.58855855 ...  0.02461342  0.2785064
 -0.07947494]"
Conducteur / Conductrice de matériels de semis,38878,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Engins agricoles et forestiers,Conduite d'engins agricoles et forestiers,A1101,"[ 0.6295309   0.51322913 -0.3927442  ... -0.05497109 -0.04189313
 -0.17830364]"
